name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Thunder (XIV),eis_thunder,,XIV Battlegroup,,,500,120,750,,100,0,,450,1000,750,225,500,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,,
Thunder Mk. II (XIV),eis_thunder_mk2,,Iron Shell,,,500,120,750,,100,0,,450,1000,750,225,500,30,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,
Peacekeeper (XIV),eis_peacekeeper,,Iron Shell,eis_secondwind,,600,135,600,,70,0,,255,310,275,180,180,60,FRONT,,360,0,1,,,1,1,,,,,,,,,,,,,,,,0,,,,
Amity (XIV),eis_amity,,Iron Shell,eis_secondwind,,700,105,700,,70,0,,175,140,140,140,140,70,OMNI,,140,0,1,,,0,0,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Frigates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courageous (XIV),eis_courageous,Frigate,XIV Battlegroup,eis_drone_strike,7,2000,400,3000,,200,50,1,179,200,175,125,350,250,FRONT,,165,0.22,1,,,10,25,25,20,1,20,11,45000,10,20,240,0.25,7,7,,eis_bp,,0.5,2,2,,
Valorous (XIV),eis_valorous,Frigate,Iron Shell,eis_zandatsu,15,1600,450,1600,,210,60,1,190,200,175,125,350,200,FRONT,,165,0.22,1,,,1,1,25,20,1,20,12,100000,10,20,180,0.25,15,15,,"eis_bp, eisceleste_bp",,0.7,3,4,,
Vanguard (XIV),eis_vanguard_xiv,Heavy Frigate,XIV Battlegroup,eis_rampagedrive2,6,3000,600,2000,,150,65,,135,120,100,60,90,300,PHASE,damper,,,,,,30,50,50,30,1,30,10,45000,8,10,300,0.25,6,6,,"eis_bp, hist2t, special_allows_system_use, system_allows_special_use",,0.4,2,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Destroyers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audacious (XIV),eis_audacious,Destroyer,Iron Shell,eis_jump_small,11,4000,650,5500,,300,105,2,100,90,60,40,45,350,FRONT,,120,0.4,0.8,,,50,70,80,50,2,25,9,65000,5,15,360,0.25,13,13,"CARRIER, COMBAT, NO_AUTO_ESCORT","eis_bp, eisceleste_bp",,0.5,2,3,,
Relentless (XIV),eis_flagellator,Destroyer,XIV Battlegroup,eis_rampagedrive,13,6500,800,5000,,350,105,1,90,100,60,40,40,450,FRONT,,120,0.4,1,,,50,90,70,70,3,28,9,65000,5,10,420,0.25,12,12,,"XIV_bp, eis_bp",,0.4,2,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Cruisers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vengeance (XIV),eis_vengeance,Battlecarrier,Iron Shell,eis_taste_vengeance,17,9000,1100,11000,,600,180,3,80,60,50,25,35,1200,FRONT,,120,0.3,0.8,,,140,200,120,140,4,33,8,200000,3,15,510,0.25,30,30,"CARRIER, COMBAT, NO_AUTO_ESCORT","eis_bp, eisceleste_bp",,0.5,2,3,,
Indomitable (XIV),eis_indomitable,Heavy Cruiser,XIV Battlegroup,eis_rampagedrive_indomitable,17,10000,1250,10000,,450,195,,50,35,20,18,18,2250,FRONT,,150,0.45,1,,,150,200,150,150,5,30,8,187500,4,12,540,0.25,25,25,"WEAPONS_FRONT_TO_BACK, ALWAYS_PANIC","XIV_bp, eis_bp",,0.4,2,4,,
Renown (XIV),eis_renown,Fast Cruiser,Iron Shell,eis_highballisticfocus,17,9000,1000,10000,,550,165,1,80,45,35,15,20,1200,OMNI,,120,0.4,0.8,,,150,200,100,75,4,38,8,250000,4,12,376,0.25,25,25,,eis_bp,,0.5,2,4,,
Mora (XIV),eis_mora,Siege Carrier,XIV Battlegroup,eis_damper,16,10000,1250,7000,,350,130,3,45,20,10,10,10,2000,OMNI,,150,0.4,1,,,250,400,100,60,4,15,8,218750,4,12,420,0.25,20,20,"CARRIER, COMBAT, NO_AUTO_ESCORT","XIV_bp, eis_bp",,0.4,2,3,,
Champion (XIV),eis_champion,Heavy Cruiser,XIV Battlegroup,eis_highballisticfocus,18,10000,1250,10000,,650,190,,60,40,30,15,20,1500,FRONT,,210,0.4,0.8,,,200,300,150,150,4,38,8,187500,4,12,480,0.25,25,25,,codex_unlockable,,0.5,2,4,,
Eradicator (XIV),eis_eradicator,Fast Cruiser,XIV Battlegroup,ammofeed,14,9000,1200,9000,,400,155,,70,50,40,15,20,1800,OMNI,,150,0.4,1,,,120,170,100,120,4,30,9,175000,4,12,540,0.25,23,22,,codex_unlockable,,0.5,2,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endeavor (XIV),eis_endeavor,Battlecarrier,XIV Battlegroup,eis_jump,28,12000,1000,15000,,700,305,3,70,48,37,14,14,3000,OMNI,,120,0.3,1,,,550,1200,250,250,12,20,8,600000,3,12,660,0.25,40,40,"CARRIER, COMBAT, NO_AUTO_ESCORT","XIV_bp, eis_bp",,0.4,2,4,,
Tyrant (XIV),eis_tyrant,Fast Battleship,XIV Battlegroup,eis_microburn,27,14000,1250,16000,,750,310,2,40,30,25,6,8,2750,FRONT,,210,0.4,1,,,575,1150,350,425,12,,8,595000,3,12,660,0.25,40,40,SHIP_WITH_MODULES,eis_bp,,0.5,2,5,,
Skysplitter (XIV),eis_skyrend,Battlecruiser,XIV Battlegroup,eis_highballisticfocus,25,11000,700,18000,,1200,280,2,60,90,55,15,20,3000,FRONT,,300,0.4,1.2,,,350,500,250,250,10,30,8,665000,3,12,660,0.25,40,40,,eis_bp,,0.5,2,5,,
Dauntless (XIV),eis_dauntless,Dreadnought,XIV Battlegroup,eis_microburn_dauntless,35,25000,1500,22000,,1200,340,4,35,30,25,6,6,5000,FRONT,,120,0.4,0.8,,,900,1800,550,650,18,,7,1000000,3,12,720,0.25,65,65,,"eis_bp, eisceleste_bp, codex_unlockable",,0.5,2,5,,
Illustrious (XIV),eis_illustrious,Battlestar,XIV Battlegroup,eis_damper,28,22000,1500,20000,,700,340,5,30,15,10,5,5,4200,FRONT,,270,0.4,0.8,,,1200,3000,500,500,20,25,7,850000,3,12,720,0.25,60,60,"CARRIER, COMBAT, NO_AUTO_ESCORT","eis_bp, codex_unlockable",,0.4,2,4,,507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Modules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor,eis_tyrant_tl,,,,1,7000,600,0,,0,0,,50,50,50,50,50,400,NONE,,,,,,,,,,,,,,,,10,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX","module_hull_bar_only, module_unselectable, module_refit_bright, no_autofit",,0.7,1,2,,
Armor,eis_tyrant_tr,,,,1,7000,600,0,,0,0,,50,50,50,50,50,400,NONE,,,,,,,,,,,,,,,,10,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX","module_hull_bar_only, module_unselectable, module_refit_bright, no_autofit",,0.7,1,2,,
